"","BLP.model.name","BLP.model.id","BLP.firm.id","BLP.cdid","BLP.id","BLP.price","BLP.mpd","BLP.air","BLP.mpg","BLP.space","BLP.hpwt","BLP.trend","BLP.share","BLP.outshr","BLP.y"
"1","AMGREM",23,15,1,129,-6.82561705092041,1.8881456043956,0,1.697,1.1502,0.528996865203762,0,0.00105129281900534,0.880106290119383,0.820365578284663
"2","AMHORN",24,15,1,130,-6.24537013734016,1.93598901098901,0,1.74,1.278,0.494324423288173,0,0.000670076189333493,0.880106290119383,0.369981057654853
"3","AMJAVL",25,15,1,132,-4.65277754474757,1.71679945054945,0,1.543,1.4592,0.467613439556633,0,0.000340527326174336,0.880106290119383,-0.306914988236964
"4","AMMATA",26,15,1,134,-4.9219133472167,1.68787087912088,0,1.517,1.6068,0.42654028436019,0,0.000522241886135941,0.880106290119383,0.120720500267717
"5","AMAMBS",18,15,1,136,-2.83302445832781,1.50428571428571,0,1.352,1.6458,0.452488687782805,0,0.000442423060771492,0.880106290119383,-0.0451437883207495
"6","BKSKYL",53,19,1,138,-4.60833310030312,1.72681318681319,0,1.552,1.6224,0.450870646766169,0,0.00275605915171876,0.880106290119383,1.78414673110284
"7","BKLSAB",45,19,1,141,-1.90462939659942,1.72792582417582,0,1.553,1.768,0.564001961745954,0,0.00265059391685164,0.880106290119383,1.74512864974771
"8","BKCNTU",40,19,1,143,-0.492283717587073,2.19412087912088,0,1.972,1.768,0.73136754121198,0,0.000487341772151899,0.880106290119383,0.0515553041206793
"9","BKELCT",41,19,1,144,0.374382949079594,2.05615384615385,0,1.848,1.816,0.719013923761698,0,0.00241512688223649,0.880106290119383,1.65209674024672
"10","BKRIVE",50,19,1,145,1.20895085031416,1.97826923076923,0,1.778,1.744,0.728323699421965,0,0.000551397804307397,0.880106290119383,0.175046152861307
"11","CDCALA",86,19,1,146,3.23858047994379,1.91818681318681,0,1.724,1.808,0.732484076433121,0,0.000127197192393065,0.880106290119383,-1.29167178540732
"12","CDDEVI",89,19,1,147,4.28302492438824,1.91262362637363,0,1.719,1.808,0.72938689217759,0,0.00270460135581019,0.880106290119383,1.76529944364882
"13","CDELDR",91,19,1,148,6.46821010957342,2.01832417582418,0,1.814,1.776,0.780748663101604,0,0.000534120223168756,0.880106290119383,0.143210586952628
